Borough,Avg_Rent,latitude,longitude
Cidade Antonio Estevao de Carvalho,110.2941176,-23.5359031,-46.4734484
Itaim,92.02755719,-23.4702411,-46.3960699
Itaim Bibi,87.0904969,-23.5858164,-46.6826257
Jardins,74.22975331,-23.5734145,-46.6729483
Alto do Pari,72.72727273,-23.524611,-46.6041867
Paraiso,70.27236616,-23.5747597,-46.6487863
Pinheiros,66.00869215,-23.5630037,-46.6864347
Brooklin,63.42283184,-23.6148608,-46.6773968
Ibirapuera,63.32163743,-23.5804482,-46.6638124
Higienopolis,60.00748965,-23.5457512,-46.6599426
Bela Vista,59.76577749,-23.5628311,-46.6462595
Granja Julieta,58.81949819,-23.6390494,-46.7007211
Alto da Boa Vista,57.81926407,-23.6352539,-46.6920665
Indianopolis,56.71310576,-23.6088341,-46.6670847
Consolacao,55.32183869,-23.5525684,-46.6556591
Campo Belo,54.66447616,-23.6220296,-46.6720199
Se,53.81944444,-23.5505199,-46.6333094
Cerqueira Cesar,53.59901535,-23.0384814,-49.1659897
Centro,53.39448397,-22.9101744,-47.0593274
Jardim Aeroporto,50.22675737,-23.6336565,-46.6644988
Sumarezinho,49.22955656,-23.5487092,-46.6928707
Real Parque,49.08047036,-23.6088683,-46.7040716
Jardim Analia Franco,46.55215596,-23.5530667,-46.5638847
Sumare,46.04812394,-22.8209029,-47.2732726
Perdizes,45.21084477,-23.5369017,-46.6743166
Pacaembu,43.55172414,-23.5459281,-46.669096
Planalto Paulista,43.20512821,-23.6186305,-46.6482747
Varzea da Barra Funda,42.85714286,-23.5223454,-46.6613007
Lapa,42.42239887,-23.5227414,-46.71044
Alto da Lapa,42.09701231,-23.5353878,-46.7178197
Barra Funda,40.48033996,-23.5303762,-46.6574319
Aclimacao,40.01702021,-23.571487,-46.6309716
Morumbi,39.73022826,-23.5981388,-46.7200705
Campos Eliseos,39.50926701,-23.532208,-46.645545
Saude,38.99894103,-23.6184885,-46.6394312
Agua Branca,38.59439913,-23.5121226,-46.7029747
Sacoma,38.46153846,-23.6149954,-46.5969541
Mirandopolis,37.99601505,-21.1331045,-51.1023381
Quarta Parada,37.73584906,-23.5462812,-46.5846174
Ipiranga,37.70793589,-23.5854976,-46.5990106
Belem,34.92221066,-23.5470833,-46.5911994
Alto de Pinheiros,33.40659341,-23.5537093,-46.7088347
Vila Formosa,33.1414091,-23.5668787,-46.5439884
Bom Retiro,33.00198113,-23.5256699,-46.640706
Bras,32.7655922,-23.538047,-46.6139117
Jaguare,32.6118057,-23.5442745,-46.7475354
Cambuci,32.48055516,-23.5644729,-46.6211126
Cupece,32.30769231,-23.6635468,-46.6699305
Tremembe,32,-22.9576323,-45.5479616
Belenzinho,31.97773062,-23.5408347,-46.5945096
Tatuape,31.54198932,-23.5352452,-46.575463
Mooca,31.0422129,-23.5603265,-46.5995903
Casa Verde,31.0258078,-23.5109881,-46.6574419
Catumbi,30.76923077,-23.5356859,-46.6017757
Piqueri,30.59701493,-23.5040786,-46.7103848
Cursino,30.02052805,-23.6029915,-46.6255389
Guaiauna,30,-23.5324403,-46.5511723
Interlagos,29.8631293,-23.7026575,-46.7019289
Jabaquara,28.82589542,-23.6364964,-46.645191
Butanta,28.43871055,-23.5634872,-46.7210095
Socorro,27.96246043,-22.5905906,-46.5282973
Veleiros,27.84769335,-23.6820976,-46.7079687
Agua Funda,27.77777778,-23.6337298,-46.6234786
Tucuruvi,27.58447611,-23.473904,-46.6108174
Bosque da Saude,26.86567164,-23.6114011,-46.6232161
Agua Rasa,26.6615038,-23.5532086,-46.5818897
Limao,26.12153804,-23.507445,-46.6717412
Santana,25.69315915,-23.498181,-46.6263306
Pirituba,25.60734308,-23.4791158,-46.7418047
Freguesia do O,25.59546757,-23.5014967,-46.6977016
Rio Pequeno,25.19748125,-23.5644876,-46.7539347
Mandaqui,23.09602584,-23.4820871,-46.6258906
Horto Florestal,19.93589744,-23.4560035,-46.6298195
Aricanduva,15.87301587,-23.5795193,-46.5110261
